,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
1319,1319,2022-01-13 12:03:51.399000064,1642075372089999872,58.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,11,86469113594543005272,1.6409676185725427e+18
1318,1318,2022-01-03 19:39:56.696999936,1641238602716000000,193.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,10,86469113594543005272,1.6409676185725427e+18
1317,1317,2022-01-03 16:40:41.254000128,1641227939391000064,102.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,9,86469113594543005272,1.6409676185725427e+18
1316,1316,2022-01-03 16:48:44.404000000,1641228459160999936,64.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,8,86469113594543005272,1.6409676185725427e+18
1315,1315,2022-01-03 16:38:59.766000128,1641227847056999936,92.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,7,86469113594543005272,1.6409676185725427e+18
1314,1314,2022-01-03 18:26:08.884999936,1641234295777999872,71.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yes,0.0,6,86469113594543005272,1.6409676185725427e+18
1312,1312,2022-01-03 16:33:09.988999936,1641227489342000128,99.0,closed,864691135945430052,2021-12-30 13:29:29.984000000,72,yesConditional,1.0,4,86469113594543005272,1.6409676185725427e+18
1715,1715,2022-01-04 04:59:14.175000064,1641272320176000000,33.0,closed,864691135945430052,2021-12-30 13:31:18.588000000,72,yesConditional,1.0,25,86469113594543005272,1.6409676185725427e+18
1338,1338,2022-01-03 18:27:35.480000000,1641234376036999936,78.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,6,86469113538534792573,1.6409679131566e+18
1344,1344,2022-01-03 22:12:05.030000128,1641247729054000128,194.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,12,86469113538534792573,1.6409679131566e+18
1336,1336,2022-01-03 16:35:37.062000128,1641227700455000064,35.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,4,86469113538534792573,1.6409679131566e+18
1335,1335,2022-01-03 16:59:28.828999936,1641229116348999936,36.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,3,86469113538534792573,1.6409679131566e+18
1343,1343,2022-01-13 12:04:46.464999936,1642075432060000000,53.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,11,86469113538534792573,1.6409679131566e+18
1342,1342,2022-01-03 19:42:11.764000000,1641238801532000000,128.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,10,86469113538534792573,1.6409679131566e+18
1348,1348,2022-01-03 16:59:30.672999936,1641229123459000064,45.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,16,86469113538534792573,1.6409679131566e+18
1333,1333,2022-01-04 05:47:12.952999936,1641275196311000064,36.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,1,86469113538534792573,1.6409679131566e+18
1337,1337,2022-01-03 18:32:05.152999936,1641234649828999936,70.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,5,86469113538534792573,1.6409679131566e+18
1345,1345,2022-01-03 17:48:30.415000064,1641232048894000128,60.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,13,86469113538534792573,1.6409679131566e+18
1347,1347,2022-01-03 22:09:14.022000128,1641241748473999872,1518.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yes,0.0,15,86469113538534792573,1.6409679131566e+18
1356,1356,2022-01-03 16:39:46.924999936,1641227953897999872,31.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,24,86469113538534792573,1.6409679131566e+18
1349,1349,2022-01-03 19:57:14.761999872,1641239745872000000,79.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,17,86469113538534792573,1.6409679131566e+18
1350,1350,2022-01-03 17:01:01.806000128,1641229130656999936,112.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,18,86469113538534792573,1.6409679131566e+18
1351,1351,2022-01-03 17:28:47.460000000,1641230869164999936,57.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,19,86469113538534792573,1.6409679131566e+18
1352,1352,2022-01-03 18:33:07.720000000,1641234689512999936,89.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,20,86469113538534792573,1.6409679131566e+18
1346,1346,2022-01-05 13:39:10.304000000,1641389898476999936,51.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,14,86469113538534792573,1.6409679131566e+18
1353,1353,2022-01-03 23:09:20.008999936,1641251305528000000,53.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,21,86469113538534792573,1.6409679131566e+18
1354,1354,2022-01-03 18:57:40.585999872,1641236132270000128,127.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,22,86469113538534792573,1.6409679131566e+18
1340,1340,2022-01-03 16:50:30.140000000,1641228526929999872,102.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,8,86469113538534792573,1.6409679131566e+18
1339,1339,2022-01-03 16:40:03.504999936,1641227942196999936,59.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,7,86469113538534792573,1.6409679131566e+18
1779,1779,2022-01-05 16:46:52.280999936,1641401183811000064,27.0,closed,864691135385347925,2022-01-03 13:40:45.301000000,73,yesConditional,1.0,1000,86469113538534792573,1.6409679131566e+18
1717,1717,2022-01-04 04:59:58.638000128,1641272357500999936,40.0,closed,864691135385347925,2021-12-30 13:31:18.706000000,73,yesConditional,1.0,25,86469113538534792573,1.6409679131566e+18
1718,1718,2022-01-03 16:31:42.001999872,1641227418681999872,82.0,closed,864691135385347925,2021-12-30 13:31:18.706000000,73,yesConditional,1.0,26,86469113538534792573,1.6409679131566e+18
1334,1334,2022-01-04 04:32:14.604000000,1641270578039000064,155.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yes,0.0,2,86469113538534792573,1.6409679131566e+18
1341,1341,2022-01-03 16:43:56.895000064,1641228044719000064,179.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,9,86469113538534792573,1.6409679131566e+18
1355,1355,2022-01-03 18:42:53.331000064,1641234779248000000,591.0,closed,864691135385347925,2021-12-30 13:29:30.936000000,73,yesConditional,1.0,23,86469113538534792573,1.6409679131566e+18
1358,1358,2022-01-04 04:34:30.791000064,1641270739672999936,130.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yes,0.0,2,86469113538534792574,1.640968200940257e+18
1360,1360,2022-01-03 16:37:22.396999936,1641227741569999872,99.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,4,86469113538534792574,1.640968200940257e+18
1373,1373,2022-01-03 20:00:47.144000000,1641239870240000000,175.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,17,86469113538534792574,1.640968200940257e+18
1372,1372,2022-01-03 18:24:06.240000000,1641229175451000064,1499.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,16,86469113538534792574,1.640968200940257e+18
1376,1376,2022-01-03 18:34:49.599000064,1641234793080000000,93.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,20,86469113538534792574,1.640968200940257e+18
1370,1370,2022-01-05 13:42:03.100999936,1641389955776999936,166.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,14,86469113538534792574,1.640968200940257e+18
1371,1371,2022-01-03 22:11:07.787000064,1641247758518000128,108.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,15,86469113538534792574,1.640968200940257e+18
1368,1368,2022-01-03 22:20:18.916000000,1641248167569999872,250.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,12,86469113538534792574,1.640968200940257e+18
1366,1366,2022-01-03 19:46:25.747000064,1641238964392000000,221.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,10,86469113538534792574,1.640968200940257e+18
1365,1365,2022-01-03 16:45:50.876000000,1641228244849999872,105.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,9,86469113538534792574,1.640968200940257e+18
1364,1364,2022-01-03 16:51:49.707000064,1641228637252000000,72.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,8,86469113538534792574,1.640968200940257e+18
1363,1363,2022-01-03 16:42:11.376000000,1641228007224999936,124.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,7,86469113538534792574,1.640968200940257e+18
1362,1362,2022-01-03 18:29:06.748999936,1641234466782000128,79.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,6,86469113538534792574,1.640968200940257e+18
1361,1361,2022-01-03 18:34:46.457999872,1641234733614000128,151.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,5,86469113538534792574,1.640968200940257e+18
1359,1359,2022-01-03 18:24:10.168999936,1641229172976000000,371.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,3,86469113538534792574,1.640968200940257e+18
1374,1374,2022-01-03 17:02:45.344000000,1641229264649999872,99.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,18,86469113538534792574,1.640968200940257e+18
1375,1375,2022-01-03 17:30:40.496000000,1641230933534000128,105.0,closed,864691135385347925,2021-12-30 13:29:32.718000000,74,yesConditional,1.0,19,86469113538534792574,1.640968200940257e+18
1719,1719,2022-01-04 05:01:56.783000064,1641272402521999872,43.0,closed,864691135385347925,2021-12-30 13:31:19.022000000,74,yesConditional,1.0,25,86469113538534792574,1.640968200940257e+18
