,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
650,650,2022-01-04 20:37:29.336999936,1641328483868999936,164.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,14,86469113593931084912,1.3305270410598636e+18
657,657,2022-01-03 16:21:38.132999936,1641226645540999936,251.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,21,86469113593931084912,1.3305270410598636e+18
659,659,2022-01-03 15:43:18.188999936,1641224301401999872,294.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,23,86469113593931084912,1.3305270410598636e+18
640,640,2022-01-03 15:34:44.280999936,1641223862580000000,220.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,4,86469113593931084912,1.3305270410598636e+18
641,641,2022-01-03 15:48:46.185999872,1641224679152999936,246.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,5,86469113593931084912,1.3305270410598636e+18
638,638,2022-01-03 16:42:55.016000000,1641227562463000064,610.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,2,86469113593931084912,1.3305270410598636e+18
658,658,2022-01-03 16:00:47.844000000,1641225514376000000,133.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,22,86469113593931084912,1.3305270410598636e+18
637,637,2022-01-03 16:02:52.905999872,1641225546811000064,225.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yes,0.0,1,86469113593931084912,1.3305270410598636e+18
643,643,2022-01-03 15:47:24.608999936,1641224537441999872,306.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yes,0.0,7,86469113593931084912,1.3305270410598636e+18
642,642,2022-01-03 16:04:28.875000064,1641225273433999872,594.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,no,0.0,6,86469113593931084912,1.3305270410598636e+18
1750,1750,2022-01-05 15:54:47.038000128,1641398045617999872,40.0,closed,864691135939310849,2022-01-03 13:40:43.127000000,12,yesConditional,1.0,1000,86469113593931084912,1.3305270410598636e+18
660,660,2022-01-03 15:47:12.507000064,1641224622692999936,208.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,24,86469113593931084912,1.3305270410598636e+18
639,639,2022-01-03 16:04:47.264000000,1641225800648000000,85.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,3,86469113593931084912,1.3305270410598636e+18
670,670,2022-01-03 16:06:16.510000128,1641225804676000000,172.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,10,86469113623748332413,1.3305273382692352e+18
668,668,2022-01-03 15:51:02.527000064,1641225015104000000,46.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,8,86469113623748332413,1.3305273382692352e+18
1661,1661,2022-01-04 03:50:13.611000064,1641226113863000064,422.0,closed,864691136237483324,2021-12-30 13:31:15.560000000,13,no,0.0,25,86469113623748332413,1.3305273382692352e+18
1662,1662,2022-01-03 15:46:35.862000128,1641224557720000000,237.0,closed,864691136237483324,2021-12-30 13:31:15.560000000,13,yes,1.0,26,86469113623748332413,1.3305273382692352e+18
671,671,2022-01-13 11:34:07.192999936,1641846516699000064,60.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,11,86469113623748332413,1.3305273382692352e+18
672,672,2022-01-03 18:29:04.180999936,1641234418260000000,125.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yes,1.0,12,86469113623748332413,1.3305273382692352e+18
667,667,2022-01-03 15:48:24.792000000,1641224848104999936,56.0,closed,864691136237483324,2021-12-30 13:29:12.564000000,13,yesConditional,0.5,7,86469113623748332413,1.3305273382692352e+18
